Record_ID,Car_Model,Model_Year,Mileage_KM,Fault_Category,Fault_Type,Severity,Parts_Required,Parts_Availability,Garage_Type,Mechanic_Expertise,Location,Day_of_Week,Time_of_Day,Actual_Repair_Hours
1,Suzuki Alto,2015,50303,Engine,Thermostat Stuck,Moderate,Thermostat Valve,In Stock,Local,15,Welipitiya,Saturday,Evening,2.7
2,Suzuki Alto,2019,201740,Engine,Misfiring,Moderate,Spark Plugs/Coils,In Stock,Authorized,17,Walgama,Friday,Afternoon,1.4
3,Suzuki Alto,2013,163706,AC,Blower Fan Issue,Moderate,Blower Motor,In Stock,Local,18,Thalalla,Saturday,Afternoon,1
4,Suzuki Alto,2019,51420,Body,Windshield Crack,Minor,Windshield Glass,In Stock,Authorized,14,Kotapola,Wednesday,Afternoon,1.5
5,Suzuki Alto,2021,79380,Brake,Brake Pad Wear,Moderate,Brake Pads,In Stock,Local,18,Nawimana,Sunday,Afternoon,0.9
6,Suzuki Alto,2011,210185,Brake,ABS Sensor Fault,Minor,ABS Sensor,In Stock,Authorized,15,Gandara,Wednesday,Evening,0.6
7,Suzuki Alto,2017,228011,Electrical,Headlight Issue,Minor,Bulb/Fuse,In Stock,Local,14,Welipitiya,Wednesday,Afternoon,0.5
8,Suzuki Alto,2011,216741,AC,No Cooling,Moderate,Refrigerant Gas,In Stock,Local,15,Kaduwela,Sunday,Morning,2.7
9,Suzuki Alto,2017,37015,Brake,Brake Shoe Wear,Minor,Brake Shoes,In Stock,Local,12,Kaduwela,Tuesday,Afternoon,0.9
10,Suzuki Alto,2018,157852,Body,Rust Patch,Minor,Tinkering/Painting,In Stock,Local,8,Kamburupitiya,Thursday,Afternoon,2.8
11,Suzuki Alto,2019,50147,Engine,Fuel Injector Clog,Moderate,Injector Cleaning,Order Required,Local,18,Akuressa,Saturday,Afternoon,2.4
12,Suzuki Alto,2011,233118,Electrical,Horn Not Working,Minor,Horn Unit,In Stock,Local,19,Dondra,Sunday,Afternoon,0.5
13,Suzuki Alto,2012,135306,Brake,Disc Rotor Warped,Major,Disc Skimming,In Stock,Local,13,Gandara,Saturday,Afternoon,5.1
14,Suzuki Alto,2012,136729,Brake,Disc Rotor Warped,Moderate,Disc Skimming,In Stock,Local,1,Padukka,Wednesday,Afternoon,2.9
15,Suzuki Alto,2015,333844,Suspension,Bushings Worn,Moderate,Suspension Bush Kit,In Stock,Local,2,Maradana,Saturday,Morning,5.1
16,Suzuki Alto,2017,22902,Engine,Engine Knocking,Major,Engine Overhaul Kit,In Stock,Authorized,10,Akuressa,Sunday,Afternoon,49.6
17,Suzuki Alto,2016,135966,Engine,Radiator Fan Failure,Moderate,Fan Motor,In Stock,Local,10,Ratmalana,Saturday,Afternoon,4.6
18,Suzuki Alto,2018,72101,Brake,ABS Sensor Fault,Moderate,ABS Sensor,In Stock,Local,1,Dikwella,Saturday,Morning,1.4
19,Suzuki Alto,2011,148494,Suspension,Wheel Bearing Noise,Moderate,Wheel Bearing,In Stock,Local,21,Thalalla,Friday,Afternoon,1.9
20,Suzuki Alto,2021,17146,Electrical,Battery Drain,Minor,Battery,In Stock,Local,2,Ratmalana,Tuesday,Morning,0.5
21,Suzuki Alto,2019,72068,Brake,Disc Rotor Warped,Major,Disc Skimming,Order Required,Authorized,14,Kollupitiya,Thursday,Evening,4.3
22,Suzuki Alto,2022,22992,Suspension,Steering Rack Rattle,Moderate,Steering Rack Bush,In Stock,Local,2,Meddawatta,Wednesday,Afternoon,6.6
23,Suzuki Alto,2018,109835,Transmission,Transmission Oil Leak,Moderate,Oil Seal,In Stock,Authorized,8,Paburana,Saturday,Evening,2.9
24,Suzuki Alto,2014,101540,Suspension,CV Joint Noise,Major,CV Joint/Boot,In Stock,Authorized,14,Paburana,Tuesday,Afternoon,8
25,Suzuki Alto,2013,390034,Brake,Brake Pad Wear,Minor,Brake Pads,In Stock,Local,18,Grandpass,Thursday,Morning,0.5
26,Suzuki Alto,2020,19883,AC,No Cooling,Minor,Refrigerant Gas,In Stock,Local,22,Pasgoda,Monday,Morning,0.8
27,Suzuki Alto,2016,254978,Engine,Engine Knocking,Major,Engine Overhaul Kit,In Stock,Local,23,Grandpass,Saturday,Evening,28.5
28,Suzuki Alto,2020,47126,AC,Blower Fan Issue,Minor,Blower Motor,Order Required,Authorized,9,Kollupitiya,Thursday,Afternoon,0.8
29,Suzuki Alto,2015,316333,Engine,Radiator Fan Failure,Moderate,Fan Motor,In Stock,Local,17,Thihagoda,Friday,Evening,3.5
30,Suzuki Alto,2020,129080,Engine,Throttle Body Issue,Minor,Throttle Body Cleaner,In Stock,Authorized,13,Bambalapitiya,Wednesday,Evening,0.5
31,Suzuki Alto,2016,119276,Electrical,Check Engine Light,Minor,Sensor (O2/MAP),In Stock,Local,15,Malimbada,Wednesday,Evening,0.7
32,Suzuki Alto,2022,21287,Electrical,Check Engine Light,Minor,Sensor (O2/MAP),In Stock,Local,3,Akuressa,Tuesday,Evening,0.8
33,Suzuki Alto,2020,45699,AC,Compressor Noise,Major,Compressor,In Stock,Authorized,19,Matara,Tuesday,Morning,9.9
34,Suzuki Alto,2017,38997,AC,Bad Smell,Minor,Evaporator Cleaning,In Stock,Local,4,Kirinda Puhulwella,Tuesday,Afternoon,0.8
35,Suzuki Alto,2019,73812,Body,Bumper Crack,Minor,Bumper Repair,Order Required,Local,8,Athuraliya,Sunday,Evening,1.3
36,Suzuki Alto,2011,141203,Brake,Disc Rotor Warped,Major,Disc Skimming,Order Required,Local,13,Weligama,Monday,Morning,4.4
