Record_ID,Car_Model,Model_Year,Mileage_KM,Fault_Category,Fault_Type,Severity,Parts_Required,Parts_Availability,Garage_Type,Mechanic_Expertise,Location,Day_of_Week,Time_of_Day,Actual_Repair_Hours
1,Suzuki Alto,2013,154339,Electrical,Alternator Belt,Minor,Alternator Belt,In Stock,Authorized,20,Mulatiyana,Wednesday,Morning,1.0
2,Suzuki Alto,2015,127479,Engine,Misfiring,Moderate,Spark Plugs+Ignition Coil,In Stock,Authorized,17,Paburana,Saturday,Evening,8.0
3,Suzuki Alto,2017,111639,Brake,ABS Sensor Fault,Moderate,ABS Sensor,In Stock,Local,6,Padukka,Wednesday,Morning,4.0
4,Suzuki Alto,2013,145865,Electrical,Horn Not Working,Minor,Horn Relay,In Stock,Local,25,Thalalla,Tuesday,Evening,0.75
5,Suzuki Alto,2018,101572,Brake,Brake Fluid Leak,Moderate,Brake Lines,In Stock,Local,13,Nupe,Friday,Evening,5.0
6,Suzuki Alto,2015,123417,Electrical,Ignition Coil Failure,Moderate,Ignition Coil Set,In Stock,Authorized,10,Walgama,Thursday,Afternoon,3.5
7,Suzuki Alto,2021,65740,Electrical,Alternator+Battery Problem,Moderate,Alternator+Battery,Order Required,Authorized,25,Nawimana,Thursday,Evening,5.0
8,Suzuki Alto,2017,88631,Electrical,Bulb Blown,Minor,Bulbs+Fuses,In Stock,Authorized,5,Dehiwala,Monday,Morning,3.0
9,Suzuki Alto,2017,90554,AC,AC Not Cooling,Moderate,Compressor,In Stock,Local,8,Modara,Friday,Evening,6.0
10,Suzuki Alto,2015,122144,Suspension,Control Arm Bushings,Moderate,Lower Arm Bushings,In Stock,Local,10,Pallimulla,Thursday,Evening,4.5
11,Suzuki Alto,2021,66564,Brake,Brake Noise,Minor,Brake Pad Shims,Order Required,Authorized,12,Pallimulla,Wednesday,Evening,0.5
12,Suzuki Alto,2013,154305,Engine,Engine Knocking,Major,Connecting Rod Bearings,Order Required,Authorized,6,Gandara,Saturday,Afternoon,21.5
13,Suzuki Alto,2019,77819,Engine,Overheating (Radiator+Thermostat),Major,Radiator+Thermostat,In Stock,Local,11,Walgama,Wednesday,Afternoon,6.0
14,Suzuki Alto,2012,165252,AC,Condenser Fan,Moderate,Condenser Fan Motor,In Stock,Local,18,Kaduwela,Thursday,Evening,1.8
15,Suzuki Alto,2012,163683,Electrical,Battery Drain,Minor,Battery,In Stock,Local,6,Meddawatta,Thursday,Morning,1.7
16,Suzuki Alto,2021,53834,Body,Window Glass Crack,Minor,Window Glass,In Stock,Local,11,Malimbada,Monday,Morning,3.0
17,Suzuki Alto,2019,76208,Engine,Misfiring,Moderate,Spark Plugs+Ignition Coil,In Stock,Authorized,2,Bambalapitiya,Monday,Morning,10.0
18,Suzuki Alto,2018,90163,Engine,Oil Leak (Gasket),Minor,Gasket Set,In Stock,Local,5,Seethawaka,Friday,Afternoon,5.0
19,Suzuki Alto,2019,64505,AC,AC Resistor,Minor,Blower Resistor,Order Required,Local,13,Kamburupitiya,Thursday,Morning,2.5
20,Suzuki Alto,2019,83321,AC,Blower Motor Issues,Minor,Blower Motor,In Stock,Local,2,Meddawatta,Friday,Morning,2.5
21,Suzuki Alto,2020,58467,Body,Door Lock Issue,Minor,Door Lock Mechanism,Order Required,Local,15,Athuraliya,Tuesday,Afternoon,2.0
22,Suzuki Alto,2012,165224,Engine,Water Pump Leak,Major,Water Pump,Order Required,Local,10,Meddawatta,Monday,Evening,9.5
23,Suzuki Alto,2013,161970,Electrical,Bulb Blown,Minor,Bulbs+Fuses,In Stock,Local,13,Nawimana,Thursday,Evening,1.1
24,Suzuki Alto,2019,65980,Engine,Spark Plug Change,Minor,Spark Plugs,In Stock,Authorized,25,Modara,Saturday,Afternoon,1.0
25,Suzuki Alto,2019,66270,Electrical,Wiper Motor Failure,Minor,Wiper Motor,In Stock,Local,9,Dehiwala,Tuesday,Evening,1.5
26,Suzuki Alto,2013,145764,Suspension,Strut Mount,Moderate,Strut Mounting,In Stock,Authorized,11,Nawimana,Tuesday,Afternoon,3.5
27,Suzuki Alto,2019,79585,Engine,Piston Ring Wear,Major,Piston Rings+Honing,Order Required,Authorized,13,Thalalla,Thursday,Afternoon,17.5
28,Suzuki Alto,2015,114903,Engine,Engine Mount Worn,Moderate,Engine Mount Set,In Stock,Authorized,4,Thalalla,Friday,Evening,11.5
29,Suzuki Alto,2016,111443,Engine,Oil Leak (Gasket),Minor,Gasket Set,In Stock,Authorized,13,Ratmalana,Saturday,Morning,3.0
30,Suzuki Alto,2021,52478,Suspension,Stabilizer Link Noise,Minor,Stabilizer Links,In Stock,Authorized,1,Malimbada,Friday,Afternoon,3.5
31,Suzuki Alto,2021,43510,Engine,Engine Mount Worn,Moderate,Engine Mount Set,In Stock,Local,25,Dondra,Wednesday,Evening,3.0
32,Suzuki Alto,2016,111641,Electrical,ECU Error,Moderate,ECU Reprogram,In Stock,Local,9,Thalalla,Monday,Evening,3.0
33,Suzuki Alto,2017,95742,AC,Refrigerant Leak,Moderate,Condenser,In Stock,Local,15,Matara,Friday,Evening,6.5
34,Suzuki Alto,2015,124395,Engine,Overheating (Thermostat+Coolant),Major,Thermostat+Coolant,In Stock,Local,18,Athuraliya,Saturday,Evening,3.0
